@RELATION NFLPlayoffs

@ATTRIBUTE t1-team-type {home, away}
@ATTRIBUTE t1-win-loss-ratio continuous
@ATTRIBUTE t1-points-per-game continuous
@ATTRIBUTE t1-points-allowed-per-game continuous
@ATTRIBUTE t1-turnover-ratio continuous
@ATTRIBUTE t1-offensive-rank continuous
@ATTRIBUTE t1-defensive-rank continuous
@ATTRIBUTE t1-kicking-and-punting-rank continuous
@ATTRIBUTE t1-kicking-and-punting-return-rank continuous
@ATTRIBUTE t1-relative-strength-of-schedule continuous
@ATTRIBUTE t2-team-type {home, away}
@ATTRIBUTE t2-win-loss-ratio continuous
@ATTRIBUTE t2-points-per-game continuous
@ATTRIBUTE t2-points-allowed-per-game continuous
@ATTRIBUTE t2-turnover-ratio continuous
@ATTRIBUTE t2-offensive-rank continuous
@ATTRIBUTE t2-defensive-rank continuous
@ATTRIBUTE t2-kicking-and-punting-rank continuous
@ATTRIBUTE t2-kicking-and-punting-return-rank continuous
@ATTRIBUTE t2-relative-strength-of-schedule continuous
@ATTRIBUTE game-result {t1,t2}

@Data
away,0.5,25.3,24.7,1.0,6.0,26.0,32.0,16.0,-2.3,home,0.8125,24.1,16.3,6.0,8.0,2.0,11.0,24.0,-2.3,t2
away,0.875,27.3,16.3,9.0,4.0,3.0,26.0,26.0,1.8,home,0.9375,23.3,15.7,11.0,11.0,1.0,22.0,15.0,1.4,t1
home,0.9375,23.3,15.7,11.0,11.0,1.0,22.0,15.0,1.4,away,0.875,27.3,16.3,9.0,4.0,3.0,26.0,26.0,1.8,t2
home,0.8125,24.1,16.3,6.0,8.0,2.0,11.0,24.0,-2.3,away,0.6875,21.3,21.1,2.0,16.0,14.0,23.0,23.0,-2.4,t1
away,0.6875,21.3,21.1,2.0,16.0,14.0,23.0,23.0,-2.4,home,0.8125,24.1,16.3,6.0,8.0,2.0,11.0,24.0,-2.3,t2
away,0.875,27.3,16.3,9.0,4.0,3.0,26.0,26.0,1.8,away,0.8125,24.1,16.3,6.0,8.0,2.0,11.0,24.0,-2.3,t1
away,0.8125,24.1,16.3,6.0,8.0,2.0,11.0,24.0,-2.3,away,0.875,27.3,16.3,9.0,4.0,3.0,26.0,26.0,1.8,t2
home,0.625,23.7,21.1,-6.0,10.0,17.0,14.0,13.0,0.6,away,0.75,22.6,16.8,11.0,12.0,6.0,7.0,22.0,-1.0,t1
away,0.75,22.6,16.8,11.0,12.0,6.0,7.0,22.0,-1.0,home,0.625,23.7,21.1,-6.0,10.0,17.0,14.0,13.0,0.6,t2
away,0.625,22.4,18.3,1.0,13.0,9.0,9.0,30.0,1.9,home,0.6875,18.8,17.1,7.0,20.0,8.0,10.0,12.0,-2.6,t1
home,0.6875,18.8,17.1,7.0,20.0,8.0,10.0,12.0,-2.6,away,0.625,22.4,18.3,1.0,13.0,9.0,9.0,30.0,1.9,t2
away,0.6875,24.4,16.2,16.0,8.0,5.0,8.0,28.0,-3.2,home,0.6875,26.4,19.6,12.0,3.0,14.0,4.0,8.0,0.7,t1
home,0.6875,26.4,19.6,12.0,3.0,14.0,4.0,8.0,0.7,away,0.6875,24.4,16.2,16.0,8.0,5.0,8.0,28.0,-3.2,t2
away,0.6875,24.3,16.1,7.0,9.0,3.0,18.0,23.0,-0.4,home,0.6875,26.3,21.9,24.0,4.0,22.0,21.0,27.0,-0.6,t1
home,0.6875,26.3,21.9,24.0,4.0,22.0,21.0,27.0,-0.6,away,0.6875,24.3,16.1,7.0,9.0,3.0,18.0,23.0,-0.4,t2
home,0.8125,24.7,16.1,20.0,7.0,4.0,11.0,31.0,2.2,away,0.625,23.7,21.1,-6.0,10.0,17.0,14.0,13.0,0.6,t1
away,0.625,23.7,21.1,-6.0,10.0,17.0,14.0,13.0,0.6,home,0.8125,24.7,16.1,20.0,7.0,4.0,11.0,31.0,2.2,t2
home,0.8125,28.3,16.9,10.0,1.0,7.0,1.0,29.0,-2.2,away,0.625,22.4,18.3,1.0,13.0,9.0,9.0,30.0,1.9,t1
away,0.625,22.4,18.3,1.0,13.0,9.0,9.0,30.0,1.9,home,0.8125,28.3,16.9,10.0,1.0,7.0,1.0,29.0,-2.2,t2
away,0.6875,24.4,16.2,16.0,8.0,5.0,8.0,28.0,-3.2,home,0.6875,16.3,12.6,6.0,27.0,1.0,5.0,24.0,-2.2,t1
home,0.6875,16.3,12.6,6.0,27.0,1.0,5.0,24.0,-2.2,away,0.6875,24.4,16.2,16.0,8.0,5.0,8.0,28.0,-3.2,t2
away,0.6875,24.3,16.1,7.0,9.0,3.0,18.0,23.0,-0.4,home,0.875,27.4,15.4,12.0,2.0,2.0,28.0,32.0,-1.2,t1
home,0.875,27.4,15.4,12.0,2.0,2.0,28.0,32.0,-1.2,away,0.6875,24.3,16.1,7.0,9.0,3.0,18.0,23.0,-0.4,t2
home,0.8125,28.3,16.9,10.0,1.0,7.0,1.0,29.0,-2.2,away,0.6875,24.4,16.2,16.0,8.0,5.0,8.0,28.0,-3.2,t1
away,0.6875,24.4,16.2,16.0,8.0,5.0,8.0,28.0,-3.2,home,0.8125,28.3,16.9,10.0,1.0,7.0,1.0,29.0,-2.2,t2
away,0.6875,24.3,16.1,7.0,9.0,3.0,18.0,23.0,-0.4,home,0.8125,24.7,16.1,20.0,7.0,4.0,11.0,31.0,2.2,t1
home,0.8125,24.7,16.1,20.0,7.0,4.0,11.0,31.0,2.2,away,0.6875,24.3,16.1,7.0,9.0,3.0,18.0,23.0,-0.4,t2
away,0.6875,24.3,16.1,7.0,9.0,3.0,18.0,23.0,-0.4,away,0.8125,28.3,16.9,10.0,1.0,7.0,1.0,29.0,-2.2,t1
away,0.8125,28.3,16.9,10.0,1.0,7.0,1.0,29.0,-2.2,away,0.6875,24.3,16.1,7.0,9.0,3.0,18.0,23.0,-0.4,t2
home,0.75,26.7,22.5,7.0,3.0,23.0,31.0,32.0,1.7,away,0.5625,20.7,19.7,4.0,15.0,12.0,22.0,20.0,0.0,t1
away,0.5625,20.7,19.7,4.0,15.0,12.0,22.0,20.0,0.0,home,0.75,26.7,22.5,7.0,3.0,23.0,31.0,32.0,1.7,t2
home,0.5625,20.9,21.3,-8.0,14.0,19.0,4.0,2.0,-3.2,away,0.5625,26.6,21.9,1.0,4.0,20.0,28.0,15.0,-1.0,t1
away,0.5625,26.6,21.9,1.0,4.0,20.0,28.0,15.0,-1.0,home,0.5625,20.9,21.3,-8.0,14.0,19.0,4.0,2.0,-3.2,t2
home,0.75,24.1,14.8,8.0,7.0,2.0,21.0,25.0,1.0,away,0.625,19.8,18.4,0.0,18.0,6.0,26.0,30.0,0.7,t1
away,0.625,19.8,18.4,0.0,18.0,6.0,26.0,30.0,0.7,home,0.75,24.1,14.8,8.0,7.0,2.0,21.0,25.0,1.0,t2
home,0.625,24.9,20.5,5.0,6.0,16.0,10.0,26.0,-1.0,away,0.5,22.2,22.6,0.0,11.0,24.0,19.0,16.0,0.5,t1
away,0.5,22.2,22.6,0.0,11.0,24.0,19.0,16.0,0.5,home,0.625,24.9,20.5,5.0,6.0,16.0,10.0,26.0,-1.0,t2
home,0.625,25.8,20.1,-4.0,5.0,13.0,8.0,7.0,-1.6,away,0.625,24.9,20.5,5.0,6.0,16.0,10.0,26.0,-1.0,t1
away,0.625,24.9,20.5,5.0,6.0,16.0,10.0,26.0,-1.0,home,0.625,25.8,20.1,-4.0,5.0,13.0,8.0,7.0,-1.6,t2
away,0.75,26.7,22.5,7.0,3.0,23.0,31.0,32.0,1.7,home,0.8125,22.1,12.6,17.0,12.0,1.0,5.0,28.0,-0.2,t1
home,0.8125,22.1,12.6,17.0,12.0,1.0,5.0,28.0,-0.2,away,0.75,26.7,22.5,7.0,3.0,23.0,31.0,32.0,1.7,t2
home,0.8125,26.7,15.9,8.0,2.0,3.0,1.0,8.0,-2.9,away,0.5625,20.9,21.3,-8.0,14.0,19.0,4.0,2.0,-3.2,t1
away,0.5625,20.9,21.3,-8.0,14.0,19.0,4.0,2.0,-3.2,home,0.8125,26.7,15.9,8.0,2.0,3.0,1.0,8.0,-2.9,t2
away,0.75,24.1,14.8,8.0,7.0,2.0,21.0,25.0,1.0,home,0.875,30.8,18.9,13.0,1.0,7.0,2.0,18.0,-1.6,t1
home,0.875,30.8,18.9,13.0,1.0,7.0,2.0,18.0,-1.6,away,0.75,24.1,14.8,8.0,7.0,2.0,21.0,25.0,1.0,t2
home,0.8125,26.7,15.9,8.0,2.0,3.0,1.0,8.0,-2.9,away,0.625,25.8,20.1,-4.0,5.0,13.0,8.0,7.0,-1.6,t1
away,0.625,25.8,20.1,-4.0,5.0,13.0,8.0,7.0,-1.6,home,0.8125,26.7,15.9,8.0,2.0,3.0,1.0,8.0,-2.9,t2
home,0.75,26.7,22.5,7.0,3.0,23.0,31.0,32.0,1.7,away,0.75,24.1,14.8,8.0,7.0,2.0,21.0,25.0,1.0,t1
away,0.75,24.1,14.8,8.0,7.0,2.0,21.0,25.0,1.0,home,0.75,26.7,22.5,7.0,3.0,23.0,31.0,32.0,1.7,t2
away,0.75,26.7,22.5,7.0,3.0,23.0,31.0,32.0,1.7,away,0.8125,26.7,15.9,8.0,2.0,3.0,1.0,8.0,-2.9,t1
away,0.8125,26.7,15.9,8.0,2.0,3.0,1.0,8.0,-2.9,away,0.75,26.7,22.5,7.0,3.0,23.0,31.0,32.0,1.7,t2
away,0.6875,25.7,19.0,9.0,6.0,10.0,30.0,29.0,0.1,home,0.625,24.6,16.8,3.0,9.0,2.0,20.0,24.0,-2.5,t1
home,0.625,24.6,16.8,3.0,9.0,2.0,20.0,24.0,-2.5,away,0.6875,25.7,19.0,9.0,6.0,10.0,30.0,29.0,0.1,t2
home,0.625,24.6,18.2,10.0,10.0,6.0,2.0,7.0,-4.6,away,0.5625,20.9,19.4,-5.0,18.0,11.0,17.0,13.0,3.0,t1
away,0.5625,20.9,19.4,-5.0,18.0,11.0,17.0,13.0,3.0,home,0.625,24.6,18.2,10.0,10.0,6.0,2.0,7.0,-4.6,t2
away,0.625,23.3,21.9,-9.0,14.0,17.0,16.0,9.0,1.9,home,0.5625,20.9,16.9,15.0,19.0,3.0,10.0,19.0,-2.8,t1
home,0.5625,20.9,16.9,15.0,19.0,3.0,10.0,19.0,-2.8,away,0.625,23.3,21.9,-9.0,14.0,17.0,16.0,9.0,1.9,t2
home,0.6875,25.8,17.8,24.0,5.0,5.0,4.0,31.0,0.8,away,0.625,18.8,18.6,0.0,22.0,8.0,18.0,22.0,0.5,t1
away,0.625,18.8,18.6,0.0,22.0,8.0,18.0,22.0,0.5,home,0.6875,25.8,17.8,24.0,5.0,5.0,4.0,31.0,0.8,t2
home,0.8125,27.2,18.2,4.0,4.0,7.0,5.0,8.0,0.0,away,0.625,24.6,18.2,10.0,10.0,6.0,2.0,7.0,-4.6,t1
away,0.625,24.6,18.2,10.0,10.0,6.0,2.0,7.0,-4.6,home,0.8125,27.2,18.2,4.0,4.0,7.0,5.0,8.0,0.0,t2
home,1.0,36.8,17.1,16.0,1.0,4.0,13.0,27.0,0.4,away,0.6875,25.7,19.0,9.0,6.0,10.0,30.0,29.0,0.1,t1
away,0.6875,25.7,19.0,9.0,6.0,10.0,30.0,29.0,0.1,home,1.0,36.8,17.1,16.0,1.0,4.0,13.0,27.0,0.4,t2
away,0.625,23.3,21.9,-9.0,14.0,17.0,16.0,9.0,1.9,home,0.8125,28.4,20.3,5.0,2.0,13.0,7.0,28.0,1.3,t1
home,0.8125,28.4,20.3,5.0,2.0,13.0,7.0,28.0,1.3,away,0.625,23.3,21.9,-9.0,14.0,17.0,16.0,9.0,1.9,t2
away,0.6875,25.8,17.8,24.0,5.0,5.0,4.0,31.0,0.8,home,0.8125,28.1,16.4,18.0,3.0,1.0,25.0,32.0,0.3,t1
home,0.8125,28.1,16.4,18.0,3.0,1.0,25.0,32.0,0.3,away,0.6875,25.8,17.8,24.0,5.0,5.0,4.0,31.0,0.8,t2
home,1.0,36.8,17.1,16.0,1.0,4.0,13.0,27.0,0.4,away,0.6875,25.8,17.8,24.0,5.0,5.0,4.0,31.0,0.8,t1
away,0.6875,25.8,17.8,24.0,5.0,5.0,4.0,31.0,0.8,home,1.0,36.8,17.1,16.0,1.0,4.0,13.0,27.0,0.4,t2
away,0.625,23.3,21.9,-9.0,14.0,17.0,16.0,9.0,1.9,home,0.8125,27.2,18.2,4.0,4.0,7.0,5.0,8.0,0.0,t1
home,0.8125,27.2,18.2,4.0,4.0,7.0,5.0,8.0,0.0,away,0.625,23.3,21.9,-9.0,14.0,17.0,16.0,9.0,1.9,t2
away,0.625,23.3,21.9,-9.0,14.0,17.0,16.0,9.0,1.9,away,1.0,36.8,17.1,16.0,1.0,4.0,13.0,27.0,0.4,t1
away,1.0,36.8,17.1,16.0,1.0,4.0,13.0,27.0,0.4,away,0.625,23.3,21.9,-9.0,14.0,17.0,16.0,9.0,1.9,t2
home,0.5625,26.7,26.6,0.0,4.0,28.0,23.0,6.0,0.1,away,0.6875,24.4,20.3,-3.0,10.0,11.0,19.0,16.0,4.1,t1
away,0.6875,24.4,20.3,-3.0,10.0,11.0,19.0,16.0,4.1,home,0.5625,26.7,26.6,0.0,4.0,28.0,23.0,6.0,0.1,t2
home,0.5,27.4,21.7,4.0,2.0,15.0,28.0,29.0,5.8,away,0.75,23.6,18.6,9.0,13.0,7.0,31.0,32.0,4.9,t1
away,0.75,23.6,18.6,9.0,13.0,7.0,31.0,32.0,4.9,home,0.5,27.4,21.7,4.0,2.0,15.0,28.0,29.0,5.8,t2
away,0.6,26.0,18.1,3.0,6.0,4.0,2.0,4.0,7.9,home,0.625,23.7,20.8,-6.0,12.0,13.0,7.0,21.0,2.9,t1
home,0.625,23.7,20.8,-6.0,12.0,13.0,7.0,21.0,2.9,away,0.6,26.0,18.1,3.0,6.0,4.0,2.0,4.0,7.9,t2
away,0.6875,24.1,15.3,13.0,11.0,3.0,3.0,23.0,8.8,home,0.6875,21.6,19.8,17.0,21.0,9.0,16.0,28.0,1.8,t1
home,0.6875,21.6,19.8,17.0,21.0,9.0,16.0,28.0,1.8,away,0.6875,24.1,15.3,13.0,11.0,3.0,3.0,23.0,8.8,t2
away,0.5625,26.7,26.6,0.0,4.0,28.0,23.0,6.0,0.1,home,0.75,25.9,20.6,6.0,7.0,12.0,5.0,17.0,5.3,t1
home,0.75,25.9,20.6,6.0,7.0,12.0,5.0,17.0,5.3,away,0.5625,26.7,26.6,0.0,4.0,28.0,23.0,6.0,0.1,t2
away,0.6875,24.1,15.3,13.0,11.0,3.0,3.0,23.0,8.8,home,0.8125,23.4,14.6,14.0,15.0,2.0,4.0,31.0,8.8,t1
home,0.8125,23.4,14.6,14.0,15.0,2.0,4.0,31.0,8.8,away,0.6875,24.1,15.3,13.0,11.0,3.0,3.0,23.0,8.8,t2
home,0.75,21.7,13.9,4.0,20.0,1.0,10.0,24.0,7.8,away,0.5,27.4,21.7,4.0,2.0,15.0,28.0,29.0,5.8,t1
away,0.5,27.4,21.7,4.0,2.0,15.0,28.0,29.0,5.8,home,0.75,21.7,13.9,4.0,20.0,1.0,10.0,24.0,7.8,t2
away,0.6,26.0,18.1,3.0,6.0,4.0,2.0,4.0,7.9,home,0.75,26.7,18.4,9.0,3.0,5.0,13.0,22.0,8.3,t1
home,0.75,26.7,18.4,9.0,3.0,5.0,13.0,22.0,8.3,away,0.6,26.0,18.1,3.0,6.0,4.0,2.0,4.0,7.9,t2
home,0.75,21.7,13.9,4.0,20.0,1.0,10.0,24.0,7.8,away,0.6875,24.1,15.3,13.0,11.0,3.0,3.0,23.0,8.8,t1
away,0.6875,24.1,15.3,13.0,11.0,3.0,3.0,23.0,8.8,home,0.75,21.7,13.9,4.0,20.0,1.0,10.0,24.0,7.8,t2
home,0.5625,26.7,26.6,0.0,4.0,28.0,23.0,6.0,0.1,away,0.6,26.0,18.1,3.0,6.0,4.0,2.0,4.0,7.9,t1
away,0.6,26.0,18.1,3.0,6.0,4.0,2.0,4.0,7.9,home,0.5625,26.7,26.6,0.0,4.0,28.0,23.0,6.0,0.1,t2
away,0.75,21.7,13.9,4.0,20.0,1.0,10.0,24.0,7.8,away,0.5625,26.7,26.6,0.0,4.0,28.0,23.0,6.0,0.1,t1
away,0.5625,26.7,26.6,0.0,4.0,28.0,23.0,6.0,0.1,away,0.75,21.7,13.9,4.0,20.0,1.0,10.0,24.0,7.8,t2
home,0.6875,22.6,15.6,2.0,14.0,2.0,12.0,29.0,0.2,away,0.6875,26.8,21.1,15.0,5.0,19.0,2.0,23.0,0.2,t1
away,0.6875,26.8,21.1,15.0,5.0,19.0,2.0,23.0,0.2,home,0.6875,22.6,15.6,2.0,14.0,2.0,12.0,29.0,0.2,t2
away,0.5625,21.8,14.8,1.0,17.0,1.0,9.0,22.0,1.6,home,0.625,19.1,18.2,0.0,22.0,6.0,16.0,11.0,-0.2,t1
home,0.625,19.1,18.2,0.0,22.0,6.0,16.0,11.0,-0.2,away,0.5625,21.8,14.8,1.0,17.0,1.0,9.0,22.0,1.6,t2
home,0.625,23.4,20.3,-7.0,11.0,15.0,7.0,18.0,-3.4,away,0.6875,28.8,18.6,24.0,3.0,7.0,5.0,28.0,-2.9,t1
away,0.6875,28.8,18.6,24.0,3.0,7.0,5.0,28.0,-2.9,home,0.625,23.4,20.3,-7.0,11.0,15.0,7.0,18.0,-3.4,t2
away,0.5625,24.4,16.3,10.0,9.0,3.0,6.0,19.0,-0.7,home,0.625,26.7,17.8,6.0,6.0,5.0,26.0,25.0,2.3,t1
home,0.625,26.7,17.8,6.0,6.0,5.0,26.0,25.0,2.3,away,0.5625,24.4,16.3,10.0,9.0,3.0,6.0,19.0,-0.7,t2
home,0.875,26.0,19.2,2.0,7.0,8.0,27.0,31.0,-0.9,away,0.5625,24.4,16.3,10.0,9.0,3.0,6.0,19.0,-0.7,t1
away,0.5625,24.4,16.3,10.0,9.0,3.0,6.0,19.0,-0.7,home,0.875,26.0,19.2,2.0,7.0,8.0,27.0,31.0,-0.9,t2
home,0.8125,31.9,21.3,11.0,1.0,20.0,8.0,26.0,0.2,away,0.625,23.4,20.3,-7.0,11.0,15.0,7.0,18.0,-3.4,t1
away,0.625,23.4,20.3,-7.0,11.0,15.0,7.0,18.0,-3.4,home,0.8125,31.9,21.3,11.0,1.0,20.0,8.0,26.0,0.2,t2
home,0.75,29.4,19.5,6.0,2.0,10.0,3.0,10.0,-2.7,away,0.6875,22.6,15.6,2.0,14.0,2.0,12.0,29.0,0.2,t1
away,0.6875,22.6,15.6,2.0,14.0,2.0,12.0,29.0,0.2,home,0.75,29.4,19.5,6.0,2.0,10.0,3.0,10.0,-2.7,t2
away,0.5625,21.8,14.8,1.0,17.0,1.0,9.0,22.0,1.6,home,0.8125,28.4,20.0,8.0,4.0,11.0,22.0,27.0,-1.7,t1
home,0.8125,28.4,20.0,8.0,4.0,11.0,22.0,27.0,-1.7,away,0.5625,21.8,14.8,1.0,17.0,1.0,9.0,22.0,1.6,t2
home,0.875,26.0,19.2,2.0,7.0,8.0,27.0,31.0,-0.9,away,0.5625,21.8,14.8,1.0,17.0,1.0,9.0,22.0,1.6,t1
away,0.5625,21.8,14.8,1.0,17.0,1.0,9.0,22.0,1.6,home,0.875,26.0,19.2,2.0,7.0,8.0,27.0,31.0,-0.9,t2
home,0.8125,31.9,21.3,11.0,1.0,20.0,8.0,26.0,0.2,away,0.75,29.4,19.5,6.0,2.0,10.0,3.0,10.0,-2.7,t1
away,0.75,29.4,19.5,6.0,2.0,10.0,3.0,10.0,-2.7,home,0.8125,31.9,21.3,11.0,1.0,20.0,8.0,26.0,0.2,t2
away,0.8125,31.9,21.3,11.0,1.0,20.0,8.0,26.0,0.2,away,0.875,26.0,19.2,2.0,7.0,8.0,27.0,31.0,-0.9,t1
away,0.875,26.0,19.2,2.0,7.0,8.0,27.0,31.0,-0.9,away,0.8125,31.9,21.3,11.0,1.0,20.0,8.0,26.0,0.2,t2
away,0.6875,22.9,19.0,9.0,13.0,6.0,3.0,3.0,2.5,home,0.625,27.2,24.3,-4.0,4.0,23.0,15.0,18.0,-0.1,t1
home,0.625,27.2,24.3,-4.0,4.0,23.0,15.0,18.0,-0.1,away,0.6875,22.9,19.0,9.0,13.0,6.0,3.0,3.0,2.5,t2
home,0.4375,19.4,25.4,-9.0,23.0,25.0,24.0,9.0,-3.4,away,0.6875,24.0,19.2,-6.0,11.0,7.0,30.0,31.0,-2.5,t1
away,0.6875,24.0,19.2,-6.0,11.0,7.0,30.0,31.0,-2.5,home,0.4375,19.4,25.4,-9.0,23.0,25.0,24.0,9.0,-3.4,t2
away,0.625,24.3,15.0,10.0,10.0,2.0,17.0,12.0,1.7,home,0.625,27.4,23.6,9.0,3.0,21.0,4.0,16.0,0.3,t1
home,0.625,27.4,23.6,9.0,3.0,21.0,4.0,16.0,0.3,away,0.625,24.3,15.0,10.0,10.0,2.0,17.0,12.0,1.7,t2
away,0.75,22.3,16.9,7.0,16.0,3.0,12.0,19.0,1.0,home,0.625,22.9,20.4,9.0,14.0,11.0,5.0,8.0,-3.2,t1
home,0.625,22.9,20.4,9.0,14.0,11.0,5.0,8.0,-3.2,away,0.75,22.3,16.9,7.0,16.0,3.0,12.0,19.0,1.0,t2
home,0.75,23.4,14.5,17.0,12.0,1.0,13.0,28.0,1.3,away,0.75,22.3,16.9,7.0,16.0,3.0,12.0,19.0,1.0,t1
away,0.75,22.3,16.9,7.0,16.0,3.0,12.0,19.0,1.0,home,0.75,23.4,14.5,17.0,12.0,1.0,13.0,28.0,1.3,t2
away,0.625,24.3,15.0,10.0,10.0,2.0,17.0,12.0,1.7,home,0.8125,25.9,18.0,14.0,5.0,5.0,10.0,32.0,-1.8,t1
home,0.8125,25.9,18.0,14.0,5.0,5.0,10.0,32.0,-1.8,away,0.625,24.3,15.0,10.0,10.0,2.0,17.0,12.0,1.7,t2
home,0.6875,20.9,17.9,4.0,21.0,4.0,14.0,22.0,1.1,away,0.4375,19.4,25.4,-9.0,23.0,25.0,24.0,9.0,-3.4,t1
away,0.4375,19.4,25.4,-9.0,23.0,25.0,24.0,9.0,-3.4,home,0.6875,20.9,17.9,4.0,21.0,4.0,14.0,22.0,1.1,t2
away,0.6875,22.9,19.0,9.0,13.0,6.0,3.0,3.0,2.5,home,0.875,32.4,19.6,28.0,1.0,8.0,16.0,30.0,2.6,t1
home,0.875,32.4,19.6,28.0,1.0,8.0,16.0,30.0,2.6,away,0.6875,22.9,19.0,9.0,13.0,6.0,3.0,3.0,2.5,t2
home,0.75,23.4,14.5,17.0,12.0,1.0,13.0,28.0,1.3,away,0.6875,22.9,19.0,9.0,13.0,6.0,3.0,3.0,2.5,t1
away,0.6875,22.9,19.0,9.0,13.0,6.0,3.0,3.0,2.5,home,0.75,23.4,14.5,17.0,12.0,1.0,13.0,28.0,1.3,t2
away,0.625,24.3,15.0,10.0,10.0,2.0,17.0,12.0,1.7,home,0.6875,20.9,17.9,4.0,21.0,4.0,14.0,22.0,1.1,t1
home,0.6875,20.9,17.9,4.0,21.0,4.0,14.0,22.0,1.1,away,0.625,24.3,15.0,10.0,10.0,2.0,17.0,12.0,1.7,t2
away,0.625,24.3,15.0,10.0,10.0,2.0,17.0,12.0,1.7,away,0.75,23.4,14.5,17.0,12.0,1.0,13.0,28.0,1.3,t1
away,0.75,23.4,14.5,17.0,12.0,1.0,13.0,28.0,1.3,away,0.625,24.3,15.0,10.0,10.0,2.0,17.0,12.0,1.7,t2
home,0.625,23.8,17.4,7.0,10.0,4.0,11.0,16.0,-1.9,away,0.5625,21.5,20.2,0.0,18.0,9.0,3.0,2.0,-0.9,t1
away,0.5625,21.5,20.2,0.0,18.0,9.0,3.0,2.0,-0.9,home,0.625,23.8,17.4,7.0,10.0,4.0,11.0,16.0,-1.9,t2
home,0.8125,34.2,21.2,-3.0,2.0,13.0,23.0,25.0,-1.6,away,0.625,29.6,24.2,11.0,4.0,23.0,2.0,20.0,0.6,t1
away,0.625,29.6,24.2,11.0,4.0,23.0,2.0,20.0,0.6,home,0.8125,34.2,21.2,-3.0,2.0,13.0,23.0,25.0,-1.6,t2
home,0.5,19.3,24.4,-12.0,25.0,24.0,7.0,9.0,-0.2,away,0.75,20.3,14.2,-13.0,22.0,1.0,30.0,28.0,-0.8,t1
away,0.75,20.3,14.2,-13.0,22.0,1.0,30.0,28.0,-0.8,home,0.5,19.3,24.4,-12.0,25.0,24.0,7.0,9.0,-0.2,t2
home,0.5625,24.6,25.0,7.0,9.0,25.0,17.0,17.0,2.0,away,0.625,25.1,21.9,8.0,7.0,18.0,20.0,32.0,0.3,t1
away,0.625,25.1,21.9,8.0,7.0,18.0,20.0,32.0,0.3,home,0.5625,24.6,25.0,7.0,9.0,25.0,17.0,17.0,2.0,t2
home,0.8125,32.1,21.4,17.0,3.0,15.0,16.0,12.0,-1.4,away,0.5,19.3,24.4,-12.0,25.0,24.0,7.0,9.0,-0.2,t1
away,0.5,19.3,24.4,-12.0,25.0,24.0,7.0,9.0,-0.2,home,0.8125,32.1,21.4,17.0,3.0,15.0,16.0,12.0,-1.4,t2
home,0.8125,23.8,14.3,28.0,11.0,2.0,1.0,13.0,-1.1,away,0.8125,34.2,21.2,-3.0,2.0,13.0,23.0,25.0,-1.6,t1
away,0.8125,34.2,21.2,-3.0,2.0,13.0,23.0,25.0,-1.6,home,0.8125,23.8,14.3,28.0,11.0,2.0,1.0,13.0,-1.1,t2
home,0.75,23.6,16.6,2.0,12.0,3.0,12.0,19.0,-0.9,away,0.625,23.8,17.4,7.0,10.0,4.0,11.0,16.0,-1.9,t1
away,0.625,23.8,17.4,7.0,10.0,4.0,11.0,16.0,-1.9,home,0.75,23.6,16.6,2.0,12.0,3.0,12.0,19.0,-0.9,t2
away,0.5625,24.6,25.0,7.0,9.0,25.0,17.0,17.0,2.0,home,0.9375,35.0,22.4,24.0,1.0,19.0,8.0,29.0,-1.2,t1
home,0.9375,35.0,22.4,24.0,1.0,19.0,8.0,29.0,-1.2,away,0.5625,24.6,25.0,7.0,9.0,25.0,17.0,17.0,2.0,t2
home,0.8125,32.1,21.4,17.0,3.0,15.0,16.0,12.0,-1.4,away,0.75,23.6,16.6,2.0,12.0,3.0,12.0,19.0,-0.9,t1
away,0.75,23.6,16.6,2.0,12.0,3.0,12.0,19.0,-0.9,home,0.8125,32.1,21.4,17.0,3.0,15.0,16.0,12.0,-1.4,t2
away,0.5625,24.6,25.0,7.0,9.0,25.0,17.0,17.0,2.0,home,0.8125,23.8,14.3,28.0,11.0,2.0,1.0,13.0,-1.1,t1
home,0.8125,23.8,14.3,28.0,11.0,2.0,1.0,13.0,-1.1,away,0.5625,24.6,25.0,7.0,9.0,25.0,17.0,17.0,2.0,t2
away,0.5625,24.6,25.0,7.0,9.0,25.0,17.0,17.0,2.0,away,0.8125,32.1,21.4,17.0,3.0,15.0,16.0,12.0,-1.4,t1
away,0.8125,32.1,21.4,17.0,3.0,15.0,16.0,12.0,-1.4,away,0.5625,24.6,25.0,7.0,9.0,25.0,17.0,17.0,2.0,t2
home,0.6875,27.1,21.0,7.0,5.0,11.0,8.0,15.0,6.1,away,0.625,23.7,21.8,-1.0,14.0,14.0,17.0,18.0,1.9,t1
away,0.625,23.7,21.8,-1.0,14.0,14.0,17.0,18.0,1.9,home,0.6875,27.1,21.0,7.0,5.0,11.0,8.0,15.0,6.1,t2
home,0.75,26.0,20.7,12.0,8.0,9.0,1.0,13.0,5.3,away,0.625,24.4,20.0,4.0,12.0,8.0,6.0,8.0,4.4,t1
away,0.625,24.4,20.0,4.0,12.0,8.0,6.0,8.0,4.4,home,0.75,26.0,20.7,12.0,8.0,9.0,1.0,13.0,5.3,t2
