@RELATION NFLPlayoffs

@ATTRIBUTE t1-team-type {home, away}
@ATTRIBUTE t1-win-loss-ratio continuous
@ATTRIBUTE t1-points-per-game continuous
@ATTRIBUTE t1-points-allowed-per-game continuous
@ATTRIBUTE t1-turnover-ratio continuous
@ATTRIBUTE t1-offensive-rank continuous
@ATTRIBUTE t1-defensive-rank continuous
@ATTRIBUTE t1-kicking-and-punting-rank continuous
@ATTRIBUTE t1-kicking-and-punting-return-rank continuous
@ATTRIBUTE t1-relative-strength-of-schedule continuous
@ATTRIBUTE t2-team-type {home, away}
@ATTRIBUTE t2-win-loss-ratio continuous
@ATTRIBUTE t2-points-per-game continuous
@ATTRIBUTE t2-points-allowed-per-game continuous
@ATTRIBUTE t2-turnover-ratio continuous
@ATTRIBUTE t2-offensive-rank continuous
@ATTRIBUTE t2-defensive-rank continuous
@ATTRIBUTE t2-kicking-and-punting-rank continuous
@ATTRIBUTE t2-kicking-and-punting-return-rank continuous
@ATTRIBUTE t2-relative-strength-of-schedule continuous
@ATTRIBUTE game-result {t1,t2}

@Data
home,0.75,29.9,18.7,17.0,3.0,9.0,4.0,27.0,-1.5,away,0.6875,20.2,14.1,15.0,16.0,3.0,3.0,28.0,1.0,t1
away,0.6875,20.2,14.1,15.0,16.0,3.0,3.0,28.0,1.0,home,0.75,29.9,18.7,17.0,3.0,9.0,4.0,27.0,-1.5,t2
home,0.75,20.5,15.4,7.0,15.0,5.0,19.0,25.0,-2.7,away,0.6875,21.9,15.3,2.0,12.0,4.0,5.0,30.0,-3.6,t1
away,0.6875,21.9,15.3,2.0,12.0,4.0,5.0,30.0,-3.6,home,0.75,20.5,15.4,7.0,15.0,5.0,19.0,25.0,-2.7,t2
away,0.75,20.8,10.3,23.0,14.0,1.0,6.0,29.0,-2.5,home,0.8125,21.6,11.9,0.0,13.0,2.0,14.0,19.0,-1.3,t1
home,0.8125,21.6,11.9,0.0,13.0,2.0,14.0,19.0,-1.3,away,0.75,20.8,10.3,23.0,14.0,1.0,6.0,29.0,-2.5,t2
home,0.75,20.5,15.4,7.0,15.0,5.0,19.0,25.0,-2.7,away,0.6875,24.8,23.2,-10.0,5.0,24.0,27.0,26.0,0.3,t1
away,0.6875,24.8,23.2,-10.0,5.0,24.0,27.0,26.0,0.3,home,0.75,20.5,15.4,7.0,15.0,5.0,19.0,25.0,-2.7,t2
away,0.75,20.8,10.3,23.0,14.0,1.0,6.0,29.0,-2.5,home,0.75,29.9,18.7,17.0,3.0,9.0,4.0,27.0,-1.5,t1
home,0.75,29.9,18.7,17.0,3.0,9.0,4.0,27.0,-1.5,away,0.75,20.8,10.3,23.0,14.0,1.0,6.0,29.0,-2.5,t2
away,0.75,20.8,10.3,23.0,14.0,1.0,6.0,29.0,-2.5,away,0.75,20.5,15.4,7.0,15.0,5.0,19.0,25.0,-2.7,t1
away,0.75,20.5,15.4,7.0,15.0,5.0,19.0,25.0,-2.7,away,0.75,20.8,10.3,23.0,14.0,1.0,6.0,29.0,-2.5,t2
home,0.6875,21.4,13.0,9.0,9.0,2.0,1.0,24.0,-0.7,away,0.5625,20.3,17.5,17.0,15.0,8.0,10.0,28.0,1.3,t1
